City,Month,Avg Daily Deployment,City Center Max Cap,Fleet Size,Tasks per Month,Revenue per Month,Ops Cost per Month,Ops Profit per Month,Revenue per Vehicle per Day,Ops Cost per Task,Compliant,GR Priority
New York,Jan 2024,7420,9000,10000,667800,"$3,339,000.00","$2,337,300.00","$1,001,700.00",$15.00,$3.50,yes,High
New York,Feb 2024,7741,9000,10000,696690,"$3,483,450.00","$2,438,415.00","$1,045,035.00",$15.00,$3.50,yes,High
New York,Mar 2024,9910,9000,10000,891900,"$4,459,500.00","$3,121,650.00","$1,337,850.00",$15.00,$3.50,no,High
New York,Apr 2024,9273,9000,10000,834570,"$4,172,850.00","$2,920,995.00","$1,251,855.00",$15.00,$3.50,no,High
New York,May 2024,7428,9000,10000,668520,"$3,342,600.00","$2,339,820.00","$1,002,780.00",$15.00,$3.50,yes,High
New York,Jun 2024,8198,9000,10000,737820,"$3,689,100.00","$2,582,370.00","$1,106,730.00",$15.00,$3.50,yes,High
New York,Jul 2024,7702,9000,10000,693180,"$3,465,900.00","$2,426,130.00","$1,039,770.00",$15.00,$3.50,yes,High
New York,Aug 2024,9768,9000,10000,879120,"$4,395,600.00","$3,076,920.00","$1,318,680.00",$15.00,$3.50,no,High
New York,Sep 2024,8334,9000,10000,750060,"$3,750,300.00","$2,625,210.00","$1,125,090.00",$15.00,$3.50,yes,High
New York,Oct 2024,9187,9000,10000,826830,"$4,134,150.00","$2,893,905.00","$1,240,245.00",$15.00,$3.50,no,High
New York,Nov 2024,9933,9000,10000,893970,"$4,469,850.00","$3,128,895.00","$1,340,955.00",$15.00,$3.50,no,High
New York,Dec 2024,7631,9000,10000,686790,"$3,433,950.00","$2,403,765.00","$1,030,185.00",$15.00,$3.50,yes,High
New York,Jan 2025,9543,9000,10000,858870,"$4,294,350.00","$3,006,045.00","$1,288,305.00",$15.00,$3.50,no,High
New York,Feb 2025,7536,9000,10000,678240,"$3,391,200.00","$2,373,840.00","$1,017,360.00",$15.00,$3.50,yes,High
New York,Mar 2025,9832,9000,10000,884880,"$4,424,400.00","$3,097,080.00","$1,327,320.00",$15.00,$3.50,no,High
New York,Apr 2025,9968,9000,10000,897120,"$4,485,600.00","$3,139,920.00","$1,345,680.00",$15.00,$3.50,no,High
New York,May 2025,8956,9000,10000,806040,"$4,030,200.00","$2,821,140.00","$1,209,060.00",$15.00,$3.50,yes,High
New York,Jun 2025,8274,9000,10000,744660,"$3,723,300.00","$2,606,310.00","$1,116,990.00",$15.00,$3.50,yes,High
New York,Jul 2025,9848,9000,10000,886320,"$4,431,600.00","$3,102,120.00","$1,329,480.00",$15.00,$3.50,no,High
New York,Aug 2025,9803,9000,10000,882270,"$4,411,350.00","$3,087,945.00","$1,323,405.00",$15.00,$3.50,no,High
New York,Sep 2025,7454,9000,10000,670860,"$3,354,300.00","$2,348,010.00","$1,006,290.00",$15.00,$3.50,yes,High
New York,Oct 2025,7848,9000,10000,706320,"$3,531,600.00","$2,472,120.00","$1,059,480.00",$15.00,$3.50,yes,High
New York,Nov 2025,7757,9000,10000,698130,"$3,490,650.00","$2,443,455.00","$1,047,195.00",$15.00,$3.50,yes,High
New York,Dec 2025,7830,9000,10000,704700,"$3,523,500.00","$2,466,450.00","$1,057,050.00",$15.00,$3.50,yes,High
New York,Jan 2026,7971,9000,10000,717390,"$3,586,950.00","$2,510,865.00","$1,076,085.00",$15.00,$3.50,yes,High
New York,Feb 2026,7719,9000,10000,694710,"$3,473,550.00","$2,431,485.00","$1,042,065.00",$15.00,$3.50,yes,High
New York,Mar 2026,8897,9000,10000,800730,"$4,003,650.00","$2,802,555.00","$1,201,095.00",$15.00,$3.50,yes,High
Paris,Jan 2024,6972,7500,8000,627480,"$2,928,240.00","$2,039,310.00","$888,930.00",$14.00,$3.25,yes,High
Paris,Feb 2024,7134,7500,8000,642060,"$2,996,280.00","$2,086,695.00","$909,585.00",$14.00,$3.25,yes,High
Paris,Mar 2024,6662,7500,8000,599580,"$2,798,040.00","$1,948,635.00","$849,405.00",$14.00,$3.25,yes,High
Paris,Apr 2024,8000,7500,8000,720000,"$3,360,000.00","$2,340,000.00","$1,020,000.00",$14.00,$3.25,no,High
Paris,May 2024,7074,7500,8000,636660,"$2,971,080.00","$2,069,145.00","$901,935.00",$14.00,$3.25,yes,High
Paris,Jun 2024,8000,7500,8000,720000,"$3,360,000.00","$2,340,000.00","$1,020,000.00",$14.00,$3.25,no,High
Paris,Jul 2024,6193,7500,8000,557370,"$2,601,060.00","$1,811,452.50","$789,607.50",$14.00,$3.25,yes,High
Paris,Aug 2024,6511,7500,8000,585990,"$2,734,620.00","$1,904,467.50","$830,152.50",$14.00,$3.25,yes,High
Paris,Sep 2024,7422,7500,8000,667980,"$3,117,240.00","$2,170,935.00","$946,305.00",$14.00,$3.25,yes,High
Paris,Oct 2024,6574,7500,8000,591660,"$2,761,080.00","$1,922,895.00","$838,185.00",$14.00,$3.25,yes,High
Paris,Nov 2024,6684,7500,8000,601560,"$2,807,280.00","$1,955,070.00","$852,210.00",$14.00,$3.25,yes,High
Paris,Dec 2024,6769,7500,8000,609210,"$2,842,980.00","$1,979,932.50","$863,047.50",$14.00,$3.25,yes,High
Paris,Jan 2025,6482,7500,8000,583380,"$2,722,440.00","$1,895,985.00","$826,455.00",$14.00,$3.25,yes,High
Paris,Feb 2025,6504,7500,8000,585360,"$2,731,680.00","$1,902,420.00","$829,260.00",$14.00,$3.25,yes,High
Paris,Mar 2025,7362,7500,8000,662580,"$3,092,040.00","$2,153,385.00","$938,655.00",$14.00,$3.25,yes,High
Paris,Apr 2025,6446,7500,8000,580140,"$2,707,320.00","$1,885,455.00","$821,865.00",$14.00,$3.25,yes,High
Paris,May 2025,8000,7500,8000,720000,"$3,360,000.00","$2,340,000.00","$1,020,000.00",$14.00,$3.25,no,High
Paris,Jun 2025,6213,7500,8000,559170,"$2,609,460.00","$1,817,302.50","$792,157.50",$14.00,$3.25,yes,High
Paris,Jul 2025,6997,7500,8000,629730,"$2,938,740.00","$2,046,622.50","$892,117.50",$14.00,$3.25,yes,High
Paris,Aug 2025,6719,7500,8000,604710,"$2,821,980.00","$1,965,307.50","$856,672.50",$14.00,$3.25,yes,High
Paris,Sep 2025,6665,7500,8000,599850,"$2,799,300.00","$1,949,512.50","$849,787.50",$14.00,$3.25,yes,High
Paris,Oct 2025,8000,7500,8000,720000,"$3,360,000.00","$2,340,000.00","$1,020,000.00",$14.00,$3.25,no,High
Paris,Nov 2025,8000,7500,8000,720000,"$3,360,000.00","$2,340,000.00","$1,020,000.00",$14.00,$3.25,no,High
Paris,Dec 2025,7122,7500,8000,640980,"$2,991,240.00","$2,083,185.00","$908,055.00",$14.00,$3.25,yes,High
Paris,Jan 2026,6874,7500,8000,618660,"$2,887,080.00","$2,010,645.00","$876,435.00",$14.00,$3.25,yes,High
Paris,Feb 2026,7015,7500,8000,631350,"$2,946,300.00","$2,051,887.50","$894,412.50",$14.00,$3.25,yes,High
Paris,Mar 2026,6736,7500,8000,606240,"$2,829,120.00","$1,970,280.00","$858,840.00",$14.00,$3.25,yes,High
London,Jan 2024,6941,7000,7500,624690,"$2,915,220.00","$2,186,415.00","$728,805.00",$14.00,$3.50,yes,High
London,Feb 2024,7361,7000,7500,662490,"$3,091,620.00","$2,318,715.00","$772,905.00",$14.00,$3.50,no,High
London,Mar 2024,7290,7000,7500,656100,"$3,061,800.00","$2,296,350.00","$765,450.00",$14.00,$3.50,no,High
London,Apr 2024,7500,7000,7500,675000,"$3,150,000.00","$2,362,500.00","$787,500.00",$14.00,$3.50,no,High
London,May 2024,6545,7000,7500,589050,"$2,748,900.00","$2,061,675.00","$687,225.00",$14.00,$3.50,yes,High
London,Jun 2024,7268,7000,7500,654120,"$3,052,560.00","$2,289,420.00","$763,140.00",$14.00,$3.50,no,High
London,Jul 2024,7500,7000,7500,675000,"$3,150,000.00","$2,362,500.00","$787,500.00",$14.00,$3.50,no,High
London,Aug 2024,7500,7000,7500,675000,"$3,150,000.00","$2,362,500.00","$787,500.00",$14.00,$3.50,no,High
London,Sep 2024,6148,7000,7500,553320,"$2,582,160.00","$1,936,620.00","$645,540.00",$14.00,$3.50,yes,High
London,Oct 2024,6910,7000,7500,621900,"$2,902,200.00","$2,176,650.00","$725,550.00",$14.00,$3.50,yes,High
London,Nov 2024,7500,7000,7500,675000,"$3,150,000.00","$2,362,500.00","$787,500.00",$14.00,$3.50,no,High
London,Dec 2024,5812,7000,7500,523080,"$2,441,040.00","$1,830,780.00","$610,260.00",$14.00,$3.50,yes,High
London,Jan 2025,7500,7000,7500,675000,"$3,150,000.00","$2,362,500.00","$787,500.00",$14.00,$3.50,no,High
London,Feb 2025,6352,7000,7500,571680,"$2,667,840.00","$2,000,880.00","$666,960.00",$14.00,$3.50,yes,High
London,Mar 2025,6698,7000,7500,602820,"$2,813,160.00","$2,109,870.00","$703,290.00",$14.00,$3.50,yes,High
London,Apr 2025,7247,7000,7500,652230,"$3,043,740.00","$2,282,805.00","$760,935.00",$14.00,$3.50,no,High
London,May 2025,6432,7000,7500,578880,"$2,701,440.00","$2,026,080.00","$675,360.00",$14.00,$3.50,yes,High
London,Jun 2025,6839,7000,7500,615510,"$2,872,380.00","$2,154,285.00","$718,095.00",$14.00,$3.50,yes,High
London,Jul 2025,7317,7000,7500,658530,"$3,073,140.00","$2,304,855.00","$768,285.00",$14.00,$3.50,no,High
London,Aug 2025,7500,7000,7500,675000,"$3,150,000.00","$2,362,500.00","$787,500.00",$14.00,$3.50,no,High
London,Sep 2025,6132,7000,7500,551880,"$2,575,440.00","$1,931,580.00","$643,860.00",$14.00,$3.50,yes,High
London,Oct 2025,7500,7000,7500,675000,"$3,150,000.00","$2,362,500.00","$787,500.00",$14.00,$3.50,no,High
London,Nov 2025,6392,7000,7500,575280,"$2,684,640.00","$2,013,480.00","$671,160.00",$14.00,$3.50,yes,High
London,Dec 2025,6023,7000,7500,542070,"$2,529,660.00","$1,897,245.00","$632,415.00",$14.00,$3.50,yes,High
London,Jan 2026,6481,7000,7500,583290,"$2,722,020.00","$2,041,515.00","$680,505.00",$14.00,$3.50,yes,High
London,Feb 2026,6017,7000,7500,541530,"$2,527,140.00","$1,895,355.00","$631,785.00",$14.00,$3.50,yes,High
London,Mar 2026,6535,7000,7500,588150,"$2,744,700.00","$2,058,525.00","$686,175.00",$14.00,$3.50,yes,High
Tokyo,Jan 2024,5897,6000,6500,530730,"$2,299,830.00","$1,592,190.00","$707,640.00",$13.00,$3.00,yes,High
Tokyo,Feb 2024,4996,6000,6500,449640,"$1,948,440.00","$1,348,920.00","$599,520.00",$13.00,$3.00,yes,High
Tokyo,Mar 2024,5642,6000,6500,507780,"$2,200,380.00","$1,523,340.00","$677,040.00",$13.00,$3.00,yes,High
Tokyo,Apr 2024,5062,6000,6500,455580,"$1,974,180.00","$1,366,740.00","$607,440.00",$13.00,$3.00,yes,High
Tokyo,May 2024,6500,6000,6500,585000,"$2,535,000.00","$1,755,000.00","$780,000.00",$13.00,$3.00,no,High
Tokyo,Jun 2024,5767,6000,6500,519030,"$2,249,130.00","$1,557,090.00","$692,040.00",$13.00,$3.00,yes,High
Tokyo,Jul 2024,6257,6000,6500,563130,"$2,440,230.00","$1,689,390.00","$750,840.00",$13.00,$3.00,no,High
Tokyo,Aug 2024,5385,6000,6500,484650,"$2,100,150.00","$1,453,950.00","$646,200.00",$13.00,$3.00,yes,High
Tokyo,Sep 2024,5424,6000,6500,488160,"$2,115,360.00","$1,464,480.00","$650,880.00",$13.00,$3.00,yes,High
Tokyo,Oct 2024,5647,6000,6500,508230,"$2,202,330.00","$1,524,690.00","$677,640.00",$13.00,$3.00,yes,High
Tokyo,Nov 2024,6190,6000,6500,557100,"$2,414,100.00","$1,671,300.00","$742,800.00",$13.00,$3.00,no,High
Tokyo,Dec 2024,5286,6000,6500,475740,"$2,061,540.00","$1,427,220.00","$634,320.00",$13.00,$3.00,yes,High
Tokyo,Jan 2025,5188,6000,6500,466920,"$2,023,320.00","$1,400,760.00","$622,560.00",$13.00,$3.00,yes,High
Tokyo,Feb 2025,5404,6000,6500,486360,"$2,107,560.00","$1,459,080.00","$648,480.00",$13.00,$3.00,yes,High
Tokyo,Mar 2025,5220,6000,6500,469800,"$2,035,800.00","$1,409,400.00","$626,400.00",$13.00,$3.00,yes,High
Tokyo,Apr 2025,5917,6000,6500,532530,"$2,307,630.00","$1,597,590.00","$710,040.00",$13.00,$3.00,yes,High
Tokyo,May 2025,5850,6000,6500,526500,"$2,281,500.00","$1,579,500.00","$702,000.00",$13.00,$3.00,yes,High
Tokyo,Jun 2025,4974,6000,6500,447660,"$1,939,860.00","$1,342,980.00","$596,880.00",$13.00,$3.00,yes,High
Tokyo,Jul 2025,6500,6000,6500,585000,"$2,535,000.00","$1,755,000.00","$780,000.00",$13.00,$3.00,no,High
Tokyo,Aug 2025,6500,6000,6500,585000,"$2,535,000.00","$1,755,000.00","$780,000.00",$13.00,$3.00,no,High
Tokyo,Sep 2025,5099,6000,6500,458910,"$1,988,610.00","$1,376,730.00","$611,880.00",$13.00,$3.00,yes,High
Tokyo,Oct 2025,5150,6000,6500,463500,"$2,008,500.00","$1,390,500.00","$618,000.00",$13.00,$3.00,yes,High
Tokyo,Nov 2025,4983,6000,6500,448470,"$1,943,370.00","$1,345,410.00","$597,960.00",$13.00,$3.00,yes,High
Tokyo,Dec 2025,5984,6000,6500,538560,"$2,333,760.00","$1,615,680.00","$718,080.00",$13.00,$3.00,yes,High
Tokyo,Jan 2026,5766,6000,6500,518940,"$2,248,740.00","$1,556,820.00","$691,920.00",$13.00,$3.00,yes,High
Tokyo,Feb 2026,5376,6000,6500,483840,"$2,096,640.00","$1,451,520.00","$645,120.00",$13.00,$3.00,yes,High
Tokyo,Mar 2026,6500,6000,6500,585000,"$2,535,000.00","$1,755,000.00","$780,000.00",$13.00,$3.00,no,High
Los Angeles,Jan 2024,6000,5500,6000,540000,"$2,340,000.00","$1,620,000.00","$720,000.00",$13.00,$3.00,no,High
Los Angeles,Feb 2024,4803,5500,6000,432270,"$1,873,170.00","$1,296,810.00","$576,360.00",$13.00,$3.00,yes,High
Los Angeles,Mar 2024,5992,5500,6000,539280,"$2,336,880.00","$1,617,840.00","$719,040.00",$13.00,$3.00,no,High
Los Angeles,Apr 2024,6000,5500,6000,540000,"$2,340,000.00","$1,620,000.00","$720,000.00",$13.00,$3.00,no,High
Los Angeles,May 2024,5088,5500,6000,457920,"$1,984,320.00","$1,373,760.00","$610,560.00",$13.00,$3.00,yes,High
Los Angeles,Jun 2024,6000,5500,6000,540000,"$2,340,000.00","$1,620,000.00","$720,000.00",$13.00,$3.00,no,High
Los Angeles,Jul 2024,5461,5500,6000,491490,"$2,129,790.00","$1,474,470.00","$655,320.00",$13.00,$3.00,yes,High
Los Angeles,Aug 2024,4693,5500,6000,422370,"$1,830,270.00","$1,267,110.00","$563,160.00",$13.00,$3.00,yes,High
Los Angeles,Sep 2024,6000,5500,6000,540000,"$2,340,000.00","$1,620,000.00","$720,000.00",$13.00,$3.00,no,High
Los Angeles,Oct 2024,4628,5500,6000,416520,"$1,804,920.00","$1,249,560.00","$555,360.00",$13.00,$3.00,yes,High
Los Angeles,Nov 2024,5772,5500,6000,519480,"$2,251,080.00","$1,558,440.00","$692,640.00",$13.00,$3.00,no,High
Los Angeles,Dec 2024,6000,5500,6000,540000,"$2,340,000.00","$1,620,000.00","$720,000.00",$13.00,$3.00,no,High
Los Angeles,Jan 2025,5995,5500,6000,539550,"$2,338,050.00","$1,618,650.00","$719,400.00",$13.00,$3.00,no,High
Los Angeles,Feb 2025,6000,5500,6000,540000,"$2,340,000.00","$1,620,000.00","$720,000.00",$13.00,$3.00,no,High
Los Angeles,Mar 2025,5219,5500,6000,469710,"$2,035,410.00","$1,409,130.00","$626,280.00",$13.00,$3.00,yes,High
Los Angeles,Apr 2025,4901,5500,6000,441090,"$1,911,390.00","$1,323,270.00","$588,120.00",$13.00,$3.00,yes,High
Los Angeles,May 2025,5807,5500,6000,522630,"$2,264,730.00","$1,567,890.00","$696,840.00",$13.00,$3.00,no,High
Los Angeles,Jun 2025,6000,5500,6000,540000,"$2,340,000.00","$1,620,000.00","$720,000.00",$13.00,$3.00,no,High
Los Angeles,Jul 2025,4963,5500,6000,446670,"$1,935,570.00","$1,340,010.00","$595,560.00",$13.00,$3.00,yes,High
Los Angeles,Aug 2025,6000,5500,6000,540000,"$2,340,000.00","$1,620,000.00","$720,000.00",$13.00,$3.00,no,High
Los Angeles,Sep 2025,4721,5500,6000,424890,"$1,841,190.00","$1,274,670.00","$566,520.00",$13.00,$3.00,yes,High
Los Angeles,Oct 2025,5433,5500,6000,488970,"$2,118,870.00","$1,466,910.00","$651,960.00",$13.00,$3.00,yes,High
Los Angeles,Nov 2025,6000,5500,6000,540000,"$2,340,000.00","$1,620,000.00","$720,000.00",$13.00,$3.00,no,High
Los Angeles,Dec 2025,4666,5500,6000,419940,"$1,819,740.00","$1,259,820.00","$559,920.00",$13.00,$3.00,yes,High
Los Angeles,Jan 2026,6000,5500,6000,540000,"$2,340,000.00","$1,620,000.00","$720,000.00",$13.00,$3.00,no,High
Los Angeles,Feb 2026,6000,5500,6000,540000,"$2,340,000.00","$1,620,000.00","$720,000.00",$13.00,$3.00,no,High
Los Angeles,Mar 2026,5615,5500,6000,505350,"$2,189,850.00","$1,516,050.00","$673,800.00",$13.00,$3.00,no,High
Chicago,Jan 2024,3932,4500,5000,353880,"$1,415,520.00","$973,170.00","$442,350.00",$12.00,$2.75,yes,High
Chicago,Feb 2024,4450,4500,5000,400500,"$1,602,000.00","$1,101,375.00","$500,625.00",$12.00,$2.75,yes,High
Chicago,Mar 2024,3783,4500,5000,340470,"$1,361,880.00","$936,292.50","$425,587.50",$12.00,$2.75,yes,High
Chicago,Apr 2024,4138,4500,5000,372420,"$1,489,680.00","$1,024,155.00","$465,525.00",$12.00,$2.75,yes,High
Chicago,May 2024,4179,4500,5000,376110,"$1,504,440.00","$1,034,302.50","$470,137.50",$12.00,$2.75,yes,High
Chicago,Jun 2024,4699,4500,5000,422910,"$1,691,640.00","$1,163,002.50","$528,637.50",$12.00,$2.75,no,High
Chicago,Jul 2024,4732,4500,5000,425880,"$1,703,520.00","$1,171,170.00","$532,350.00",$12.00,$2.75,no,High
Chicago,Aug 2024,4423,4500,5000,398070,"$1,592,280.00","$1,094,692.50","$497,587.50",$12.00,$2.75,yes,High
Chicago,Sep 2024,4639,4500,5000,417510,"$1,670,040.00","$1,148,152.50","$521,887.50",$12.00,$2.75,no,High
Chicago,Oct 2024,3914,4500,5000,352260,"$1,409,040.00","$968,715.00","$440,325.00",$12.00,$2.75,yes,High
Chicago,Nov 2024,4314,4500,5000,388260,"$1,553,040.00","$1,067,715.00","$485,325.00",$12.00,$2.75,yes,High
Chicago,Dec 2024,3902,4500,5000,351180,"$1,404,720.00","$965,745.00","$438,975.00",$12.00,$2.75,yes,High
Chicago,Jan 2025,4136,4500,5000,372240,"$1,488,960.00","$1,023,660.00","$465,300.00",$12.00,$2.75,yes,High
Chicago,Feb 2025,3697,4500,5000,332730,"$1,330,920.00","$915,007.50","$415,912.50",$12.00,$2.75,yes,High
Chicago,Mar 2025,4405,4500,5000,396450,"$1,585,800.00","$1,090,237.50","$495,562.50",$12.00,$2.75,yes,High
Chicago,Apr 2025,4884,4500,5000,439560,"$1,758,240.00","$1,208,790.00","$549,450.00",$12.00,$2.75,no,High
Chicago,May 2025,4904,4500,5000,441360,"$1,765,440.00","$1,213,740.00","$551,700.00",$12.00,$2.75,no,High
Chicago,Jun 2025,3793,4500,5000,341370,"$1,365,480.00","$938,767.50","$426,712.50",$12.00,$2.75,yes,High
Chicago,Jul 2025,4418,4500,5000,397620,"$1,590,480.00","$1,093,455.00","$497,025.00",$12.00,$2.75,yes,High
Chicago,Aug 2025,5000,4500,5000,450000,"$1,800,000.00","$1,237,500.00","$562,500.00",$12.00,$2.75,no,High
Chicago,Sep 2025,4703,4500,5000,423270,"$1,693,080.00","$1,163,992.50","$529,087.50",$12.00,$2.75,no,High
Chicago,Oct 2025,3773,4500,5000,339570,"$1,358,280.00","$933,817.50","$424,462.50",$12.00,$2.75,yes,High
Chicago,Nov 2025,5000,4500,5000,450000,"$1,800,000.00","$1,237,500.00","$562,500.00",$12.00,$2.75,no,High
Chicago,Dec 2025,4192,4500,5000,377280,"$1,509,120.00","$1,037,520.00","$471,600.00",$12.00,$2.75,yes,High
Chicago,Jan 2026,4443,4500,5000,399870,"$1,599,480.00","$1,099,642.50","$499,837.50",$12.00,$2.75,yes,High
Chicago,Feb 2026,5000,4500,5000,450000,"$1,800,000.00","$1,237,500.00","$562,500.00",$12.00,$2.75,no,High
Chicago,Mar 2026,5000,4500,5000,450000,"$1,800,000.00","$1,237,500.00","$562,500.00",$12.00,$2.75,no,High
Sydney,Jan 2024,3810,4000,4500,342900,"$1,371,600.00","$942,975.00","$428,625.00",$12.00,$2.75,yes,High
Sydney,Feb 2024,3950,4000,4500,355500,"$1,422,000.00","$977,625.00","$444,375.00",$12.00,$2.75,yes,High
Sydney,Mar 2024,3902,4000,4500,351180,"$1,404,720.00","$965,745.00","$438,975.00",$12.00,$2.75,yes,High
Sydney,Apr 2024,3472,4000,4500,312480,"$1,249,920.00","$859,320.00","$390,600.00",$12.00,$2.75,yes,High
Sydney,May 2024,3357,4000,4500,302130,"$1,208,520.00","$830,857.50","$377,662.50",$12.00,$2.75,yes,High
Sydney,Jun 2024,4492,4000,4500,404280,"$1,617,120.00","$1,111,770.00","$505,350.00",$12.00,$2.75,no,High
Sydney,Jul 2024,3867,4000,4500,348030,"$1,392,120.00","$957,082.50","$435,037.50",$12.00,$2.75,yes,High
Sydney,Aug 2024,3499,4000,4500,314910,"$1,259,640.00","$866,002.50","$393,637.50",$12.00,$2.75,yes,High
Sydney,Sep 2024,3443,4000,4500,309870,"$1,239,480.00","$852,142.50","$387,337.50",$12.00,$2.75,yes,High
